url,destination,http_status,redirect_hops,canonical,intent_similarity,historical_clicks,historical_impressions,backlinks,internal_links_still_pointing,classification,priority,recommended_action,validation_method,notes
https://dreamlab.id/author/admin/page/9/,/author/admin/,308,1,/author/admin/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Pagination redirect to parent is correct.
https://dreamlab.id/category/dreamlabpedia/page/2/,/category/dreamlabpedia/,308,1,/category/dreamlabpedia/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Pagination redirect to parent is correct.
https://dreamlab.id/category/maklon-parfum/page/2/,/category/maklon-parfum/,308,1,/category/maklon-kosmetik/,MEDIUM,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Two-hop redirect but acceptable.
https://dreamlab.id/contact-form-dreamlab/,/contact-us/,308,1,/contact-us/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Correct redirect.
https://dreamlab.id/memunculkan-keranjang-reels/,/news-blog/,308,1,/news-blog/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,No equivalent content exists; blog is reasonable redirect.
https://dreamlab.id/https-dreamlab-id-dreamlab-visit-ici-2026/,/,308,1,/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Malformed URL redirecting to homepage is acceptable.
https://dreamlab.id/jasa-maklon-sabun-mandi-batang/,/jasa-maklon-bar-soap-merek-sendiri/,308,1,/jasa-maklon-bar-soap-merek-sendiri/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Good redirect - same intent.
https://dreamlab.id/academy-beautypreneur/,/category/dreampreneur-beauty-academy/,308,1,/category/dreampreneur-beauty-academy/,MEDIUM,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Acceptable redirect.
https://dreamlab.id/thankyou-page/,/thankyou/google/,308,1,missing,MEDIUM,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Thank you page redirect acceptable.
https://dreamlab.id/thankyoupage-google/,/,308,1,/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Acceptable redirect to homepage.
https://dreamlab.id/cara-bisnis-skincare-dari-nol/,/bisnis-kosmetik-dari-nol/,308,1,/bisnis-kosmetik-dari-nol/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Good redirect - same content updated.
https://dreamlab.id/bahan-aktif-untuk-mengatasi-jerawat/,/bahan-aktif-skincare-jerawat/,308,1,/bahan-aktif-skincare-jerawat/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Good redirect - same content.
https://dreamlab.id/tips-sukses-bisnis-parfum/,/bisnis-parfum-merk-sendiri/,308,1,/bisnis-parfum-merk-sendiri/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Good redirect - same content.
https://dreamlab.id/produk-haircare-yang-sedang-tren/,/produk/haircare/,308,1,/produk/haircare/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,Good redirect.
